Medicine Name,Category,Dosage Form,Strength,Batch Number,Count,Reorder Level,Cost Price ($),Selling Price ($),Profit Margin (%),Discount (%),Expiry Date,Manufacture Date,Storage Temperature,Supplier Name,Warehouse Location,Regulatory Approval Number,Prescription Required,Days to Expiry,Units Sold,Usage Instructions,Target Ailment
Azithromycin,Antipyretic,Injection,5ml,BATCH-7775084,294,18,51.16,475.57,17.69,2,3/22/2025,2/18/2023,Room Temperature,Supplier Z,Warehouse A,FDA-67741341,TRUE,370,72,Use as directed,Diabetes
Clarithromycin,Antibiotic,Capsule,500mg,BATCH-1705880,86,47,20.93,262.99,40.25,23,7/22/2025,1/21/2023,Room Temperature,Supplier W,Warehouse A,FDA-02108768,FALSE,603,7,Take after meals,Pain
Amoxicillin,Antidiabetic,Tablet,10mg/ml,BATCH-3473940,196,49,92.88,301.35,49.3,28,6/11/2026,2/26/2023,Room Temperature,Supplier X,Warehouse B,FDA-02940100,FALSE,356,22,Use as directed,Diabetes
Metformin,Antibiotic,Injection,500mg,BATCH-1878856,429,30,217.8,570.85,22.57,8,3/7/2025,8/28/2023,Room Temperature,Supplier X,Warehouse B,FDA-84823838,TRUE,712,40,Take after meals,Pain
Metformin,Analgesic,Tablet,250mg,BATCH-6601317,209,28,85.08,386.84,14.64,29,9/4/2025,1/25/2024,Below 25°C,Supplier Y,Warehouse C,FDA-80072682,TRUE,214,28,Take before meals,Allergy
Paracetamol,Antibiotic,Tablet,250mg,BATCH-1150176,59,16,107.12,486.08,39.58,2,7/28/2026,11/25/2024,2–8°C,Supplier X,Warehouse B,FDA-79143813,TRUE,480,78,Take after meals,Pain
Losartan,Antipyretic,Capsule,100mg,BATCH-0470220,346,26,119.12,479.03,34.94,3,12/30/2026,2/5/2024,2–8°C,Supplier Y,Warehouse B,FDA-13268750,FALSE,417,98,Use as directed,Fever
Aspirin,Antibiotic,Capsule,100mg,BATCH-8932844,254,49,240.36,449.34,47.38,30,9/2/2025,11/24/2023,Below 25°C,Supplier Y,Warehouse C,FDA-22790624,FALSE,393,36,Take after meals,Infection
Losartan,Antacid,Tablet,500mg,BATCH-5554930,381,12,16.19,311.21,42.25,27,8/16/2026,1/20/2023,Below 25°C,Supplier Z,Warehouse C,FDA-98256349,TRUE,208,12,Take before meals,Fever
Paracetamol,Antacid,Tablet,10mg/ml,BATCH-9787434,435,19,138.32,114.44,32.14,7,12/11/2026,11/24/2023,Room Temperature,Supplier W,Warehouse A,FDA-48967707,FALSE,2,85,Take after meals,Infection
Metformin,Antipyretic,Ointment,500mg,BATCH-6472761,128,37,87.22,291.93,7.85,11,2/3/2025,10/11/2024,Below 25°C,Supplier X,Warehouse A,FDA-46858981,FALSE,509,68,Take before meals,Acidity
Losartan,Analgesic,Tablet,5ml,BATCH-0269840,490,38,58.74,274.69,6.23,6,9/29/2026,5/23/2023,Below 25°C,Supplier W,Warehouse A,FDA-33897060,FALSE,429,60,Take after meals,Infection
Simvastatin,Antibiotic,Drops,250mg,BATCH-5866287,232,27,34.6,30.25,13.37,0,8/3/2026,3/15/2024,Below 25°C,Supplier X,Warehouse B,FDA-73085473,TRUE,66,58,Take before meals,Acidity
Simvastatin,Antidiabetic,Injection,5ml,BATCH-9256688,227,45,146.89,267.52,15.45,21,2/16/2025,10/21/2023,2–8°C,Supplier X,Warehouse C,FDA-29165726,FALSE,49,69,Use as directed,Fever
Gabapentin,Antibiotic,Ointment,100mg,BATCH-2415630,10,34,109.93,423.93,32.55,30,9/24/2026,6/24/2024,Room Temperature,Supplier X,Warehouse A,FDA-60346977,TRUE,41,28,Take after meals,Diabetes
Gabapentin,Antipyretic,Injection,500mg,BATCH-5563934,75,34,20.86,57.56,29.07,30,10/15/2026,5/7/2024,Below 25°C,Supplier W,Warehouse C,FDA-87931777,FALSE,101,9,Take before meals,Fever
Amoxicillin,Analgesic,Tablet,500mg,BATCH-8394536,183,26,32.91,464.49,22.75,11,11/11/2025,5/31/2023,Room Temperature,Supplier Y,Warehouse B,FDA-22889693,FALSE,260,49,Use as directed,Acidity
Ranitidine,Antacid,Drops,5ml,BATCH-7488205,428,43,241.39,246.67,46.16,12,8/22/2026,11/10/2023,2–8°C,Supplier Z,Warehouse B,FDA-52543351,TRUE,708,97,Take after meals,Allergy
Omeprazole,Analgesic,Ointment,100mg,BATCH-9656654,391,42,10.61,20.35,33.48,28,7/18/2026,1/20/2023,2–8°C,Supplier X,Warehouse B,FDA-50324975,FALSE,241,4,Take before meals,Allergy
Omeprazole,Antibiotic,Ointment,250mg,BATCH-6737838,223,29,199.92,575.24,34.2,23,8/23/2025,4/21/2023,Room Temperature,Supplier W,Warehouse A,FDA-54193449,FALSE,677,73,Take after meals,Fever
Metformin,Antipyretic,Capsule,250mg,BATCH-2320526,141,48,152.03,292.61,48.79,26,12/27/2026,12/18/2023,Room Temperature,Supplier W,Warehouse C,FDA-69260951,TRUE,535,70,Take before meals,Allergy
Amoxicillin,Antihistamine,Capsule,500mg,BATCH-3359665,227,17,20.28,236.41,9.94,14,3/27/2026,9/14/2024,Room Temperature,Supplier Y,Warehouse A,FDA-93634020,TRUE,161,34,Use as directed,Acidity
Paracetamol,Antipyretic,Syrup,5ml,BATCH-9352817,286,47,46.39,262.48,15.73,26,11/25/2026,1/16/2023,Room Temperature,Supplier Z,Warehouse B,FDA-34284776,TRUE,303,26,Take after meals,Fever
Paracetamol,Antibiotic,Syrup,10mg/ml,BATCH-6538409,184,22,164.13,63.31,9.54,28,5/30/2026,11/24/2023,Room Temperature,Supplier X,Warehouse B,FDA-37073727,TRUE,190,44,Use as directed,Infection
Azithromycin,Antidiabetic,Injection,1g,BATCH-0824141,85,29,145.55,547.93,9.96,0,12/15/2026,3/21/2024,2–8°C,Supplier Z,Warehouse B,FDA-55544470,TRUE,663,88,Take before meals,Fever
Gabapentin,Analgesic,Tablet,250mg,BATCH-2990100,406,14,79.51,358.93,42.21,16,12/5/2026,7/23/2023,Below 25°C,Supplier Y,Warehouse C,FDA-14023091,FALSE,664,62,Use as directed,Allergy
Ibuprofen,Analgesic,Drops,10mg/ml,BATCH-8680401,197,27,141.58,263.33,22.65,29,8/7/2026,2/23/2023,Below 25°C,Supplier X,Warehouse B,FDA-27685718,FALSE,485,43,Take after meals,Allergy
Ibuprofen,Antidiabetic,Drops,250mg,BATCH-4854981,220,10,141.1,338.89,9.77,5,3/20/2025,11/1/2023,2–8°C,Supplier W,Warehouse C,FDA-76965193,FALSE,245,96,Take after meals,Pain
Losartan,Antihistamine,Capsule,100mg,BATCH-1941361,407,29,180.71,179.82,47.58,3,3/16/2025,5/5/2023,Room Temperature,Supplier Y,Warehouse A,FDA-55076189,FALSE,58,17,Take before meals,Pain
Gabapentin,Analgesic,Capsule,10mg/ml,BATCH-7716729,268,17,214.48,160.33,15.22,14,2/20/2026,1/20/2024,Room Temperature,Supplier W,Warehouse B,FDA-73419115,FALSE,487,87,Take before meals,Acidity
Azithromycin,Antidiabetic,Injection,10mg/ml,BATCH-3273481,219,50,113.64,345.46,11.35,16,1/2/2027,12/17/2024,Below 25°C,Supplier W,Warehouse A,FDA-03100421,FALSE,126,24,Take after meals,Allergy
Ciprofloxacin,Antipyretic,Syrup,1g,BATCH-5146845,367,10,181.98,466.46,27.12,18,5/9/2026,9/13/2024,Room Temperature,Supplier Z,Warehouse A,FDA-48350721,FALSE,256,98,Take before meals,Fever
Omeprazole,Antidiabetic,Capsule,5ml,BATCH-4966339,189,13,6.46,22.37,45.88,30,9/25/2026,6/17/2023,Below 25°C,Supplier X,Warehouse A,FDA-88834518,TRUE,421,78,Take after meals,Infection
Metformin,Antibiotic,Drops,500mg,BATCH-7018473,272,39,242.31,492.85,29.64,11,11/25/2025,10/30/2024,2–8°C,Supplier Y,Warehouse A,FDA-65627589,FALSE,400,68,Use as directed,Allergy
Ibuprofen,Antidiabetic,Drops,1g,BATCH-6306211,32,23,173.14,572.71,9.35,10,3/10/2026,7/22/2024,Room Temperature,Supplier W,Warehouse A,FDA-00891006,FALSE,151,29,Use as directed,Diabetes
Simvastatin,Antihistamine,Injection,250mg,BATCH-4806392,462,50,67.88,223.47,32.33,10,1/2/2026,4/4/2024,Below 25°C,Supplier X,Warehouse B,FDA-78334392,FALSE,694,1,Take after meals,Acidity
Ciprofloxacin,Antacid,Drops,100mg,BATCH-1171308,99,11,61.58,421.64,7.44,24,3/31/2026,2/26/2024,Below 25°C,Supplier Z,Warehouse B,FDA-00506804,FALSE,576,47,Take before meals,Pain
Ciprofloxacin,Antibiotic,Syrup,100mg,BATCH-1827109,401,47,69.61,56.49,8.59,0,8/16/2025,11/21/2023,2–8°C,Supplier X,Warehouse C,FDA-21264883,FALSE,682,21,Take after meals,Allergy
Cetirizine,Antidiabetic,Ointment,100mg,BATCH-5247621,328,12,204.98,152.49,43.25,21,6/4/2025,2/4/2023,Room Temperature,Supplier W,Warehouse B,FDA-52329284,FALSE,368,65,Take before meals,Diabetes
Ibuprofen,Antibiotic,Capsule,10mg/ml,BATCH-6688911,201,49,31.11,291.09,18.79,15,12/13/2026,1/5/2024,Room Temperature,Supplier Z,Warehouse A,FDA-39500270,FALSE,55,17,Take before meals,Infection
Ranitidine,Antidiabetic,Tablet,5ml,BATCH-8037550,424,38,44.83,107.53,8.03,21,1/1/2026,8/22/2024,Room Temperature,Supplier X,Warehouse C,FDA-96737675,TRUE,665,64,Use as directed,Allergy
Ciprofloxacin,Analgesic,Tablet,500mg,BATCH-6922233,194,14,92.66,518.8,49.69,11,12/1/2026,4/10/2024,2–8°C,Supplier W,Warehouse C,FDA-58056663,FALSE,251,19,Take after meals,Diabetes
Losartan,Antidiabetic,Tablet,250mg,BATCH-8894642,483,34,102.7,592.18,18.62,17,5/8/2026,6/8/2024,2–8°C,Supplier W,Warehouse A,FDA-21753492,FALSE,12,98,Take after meals,Pain
Azithromycin,Antibiotic,Drops,500mg,BATCH-9939947,414,10,175.58,243.58,7.86,6,4/18/2025,8/25/2023,2–8°C,Supplier Z,Warehouse A,FDA-05172682,FALSE,638,98,Take after meals,Acidity
Ciprofloxacin,Analgesic,Drops,500mg,BATCH-0723854,412,41,147.02,205.34,5.96,15,4/22/2025,12/23/2023,2–8°C,Supplier Z,Warehouse C,FDA-54172231,TRUE,560,94,Take before meals,Fever
Omeprazole,Antidiabetic,Tablet,5ml,BATCH-2217154,371,31,73.41,17.27,27.97,13,9/24/2026,7/21/2023,Below 25°C,Supplier Z,Warehouse A,FDA-69251430,FALSE,602,2,Use as directed,Acidity
Simvastatin,Antihistamine,Syrup,100mg,BATCH-7002108,226,19,15.39,27.23,41.18,30,12/3/2025,3/28/2024,2–8°C,Supplier X,Warehouse B,FDA-59044863,FALSE,402,23,Take after meals,Diabetes
Ranitidine,Analgesic,Syrup,5ml,BATCH-6326864,215,42,70.75,250.46,33.83,30,1/2/2026,11/30/2023,2–8°C,Supplier Y,Warehouse B,FDA-47866470,TRUE,483,84,Take before meals,Allergy
Clarithromycin,Analgesic,Capsule,1g,BATCH-3269359,449,41,31.98,370.87,26.98,30,12/17/2026,1/8/2025,2–8°C,Supplier W,Warehouse C,FDA-00442812,FALSE,2,34,Take after meals,Infection
Azithromycin,Antipyretic,Syrup,5ml,BATCH-5154119,487,18,42.18,510.66,5.38,19,4/8/2026,3/23/2023,Room Temperature,Supplier X,Warehouse C,FDA-30455238,FALSE,161,62,Use as directed,Fever
Metformin,Antidiabetic,Tablet,500mg,BATCH-4987523,51,24,53.42,486.61,29.64,9,6/14/2026,12/7/2023,Below 25°C,Supplier Y,Warehouse C,FDA-89546981,TRUE,287,7,Use as directed,Pain
Ibuprofen,Analgesic,Syrup,1g,BATCH-5921355,419,29,86.31,38.47,23.26,21,8/6/2026,8/16/2024,Below 25°C,Supplier X,Warehouse C,FDA-26651077,TRUE,335,81,Take after meals,Allergy
Cetirizine,Antihistamine,Tablet,5ml,BATCH-9361978,331,25,131.56,21.09,39.39,21,7/18/2025,6/2/2024,Below 25°C,Supplier W,Warehouse A,FDA-56854152,TRUE,58,9,Use as directed,Allergy
Azithromycin,Antihistamine,Drops,10mg/ml,BATCH-2189527,38,20,172.73,338.67,14.47,26,12/20/2026,12/6/2023,Room Temperature,Supplier Y,Warehouse C,FDA-41185037,TRUE,676,30,Take before meals,Allergy
Atorvastatin,Analgesic,Capsule,1g,BATCH-0231935,472,44,45.93,275.38,23.98,8,8/3/2026,3/17/2024,Room Temperature,Supplier X,Warehouse B,FDA-81609973,FALSE,330,85,Use as directed,Acidity
Metformin,Antipyretic,Drops,10mg/ml,BATCH-1917601,33,25,199.27,434,18.06,0,9/25/2026,4/26/2023,Room Temperature,Supplier Z,Warehouse C,FDA-73239907,TRUE,692,23,Use as directed,Allergy
Azithromycin,Antidiabetic,Injection,10mg/ml,BATCH-9988192,224,29,245.16,172.57,47.66,2,6/1/2026,8/17/2023,2–8°C,Supplier W,Warehouse A,FDA-27114701,FALSE,165,27,Use as directed,Diabetes
Azithromycin,Antipyretic,Tablet,500mg,BATCH-8716439,315,21,163.58,322.84,9.34,2,4/24/2026,8/10/2023,Room Temperature,Supplier Y,Warehouse B,FDA-62302513,FALSE,536,97,Use as directed,Pain
Cetirizine,Antidiabetic,Injection,250mg,BATCH-5662530,279,25,29.12,218.42,13.51,29,6/3/2025,7/10/2023,2–8°C,Supplier X,Warehouse A,FDA-01987087,FALSE,430,8,Use as directed,Pain
Ciprofloxacin,Antidiabetic,Capsule,1g,BATCH-5669195,97,17,151.4,551.32,36.64,30,10/9/2026,7/14/2023,2–8°C,Supplier Y,Warehouse B,FDA-78710565,FALSE,458,91,Use as directed,Fever
Amoxicillin,Antacid,Injection,10mg/ml,BATCH-3517561,209,20,249.36,129.98,19.14,14,8/15/2025,1/7/2024,Below 25°C,Supplier X,Warehouse B,FDA-30390962,TRUE,509,88,Take before meals,Fever
Amoxicillin,Antipyretic,Drops,5ml,BATCH-1315567,234,12,44.59,497.29,19.1,25,1/24/2025,4/22/2024,2–8°C,Supplier Y,Warehouse A,FDA-97259136,TRUE,455,16,Take before meals,Allergy
Ibuprofen,Antacid,Capsule,5ml,BATCH-2123030,268,27,241.29,69.08,37.65,17,10/6/2026,5/11/2023,Below 25°C,Supplier X,Warehouse C,FDA-15034048,FALSE,349,20,Take after meals,Infection
Amoxicillin,Antihistamine,Capsule,500mg,BATCH-0088901,87,18,204.79,447.63,34.09,12,1/19/2025,2/20/2024,Below 25°C,Supplier X,Warehouse A,FDA-80224135,TRUE,701,18,Use as directed,Acidity
Ranitidine,Analgesic,Tablet,100mg,BATCH-3186175,66,10,52.78,502.68,17.75,17,8/18/2025,12/16/2024,Below 25°C,Supplier Z,Warehouse C,FDA-94779075,TRUE,216,95,Take before meals,Pain
Ciprofloxacin,Antipyretic,Syrup,10mg/ml,BATCH-8762371,422,45,40.97,153.94,31.52,13,1/29/2025,10/18/2023,2–8°C,Supplier Y,Warehouse A,FDA-46307149,TRUE,547,35,Take before meals,Fever
Aspirin,Antibiotic,Ointment,100mg,BATCH-2100387,399,17,180.11,407.45,32.29,4,9/22/2025,8/26/2023,Below 25°C,Supplier Y,Warehouse C,FDA-90694849,TRUE,245,49,Take after meals,Diabetes
Clarithromycin,Antidiabetic,Syrup,1g,BATCH-0657702,491,47,90.18,549.76,47.52,9,11/12/2025,3/8/2024,Below 25°C,Supplier Y,Warehouse B,FDA-50415227,FALSE,510,21,Take after meals,Fever
Omeprazole,Antihistamine,Syrup,10mg/ml,BATCH-2329607,101,42,126.01,333.44,11,12,12/22/2025,12/16/2023,2–8°C,Supplier Z,Warehouse C,FDA-69779035,FALSE,633,21,Take after meals,Allergy
Azithromycin,Antidiabetic,Injection,10mg/ml,BATCH-9166275,218,48,210.83,256.75,36.85,20,1/21/2026,2/18/2023,Room Temperature,Supplier Y,Warehouse C,FDA-50603773,TRUE,144,52,Take before meals,Pain
Atorvastatin,Antihistamine,Ointment,10mg/ml,BATCH-9237226,42,38,183.54,429.17,41.76,29,9/2/2026,7/30/2024,Room Temperature,Supplier Y,Warehouse B,FDA-73946948,TRUE,269,38,Take after meals,Diabetes
Amoxicillin,Analgesic,Syrup,100mg,BATCH-0784418,455,13,68,572.33,34.2,5,7/27/2026,3/4/2024,Room Temperature,Supplier X,Warehouse C,FDA-12055394,TRUE,415,32,Take after meals,Pain
Ibuprofen,Antidiabetic,Drops,10mg/ml,BATCH-7199161,225,10,8.29,594.51,5.24,14,5/6/2025,2/28/2023,2–8°C,Supplier Z,Warehouse A,FDA-71694855,FALSE,316,90,Take after meals,Pain
Omeprazole,Antihistamine,Ointment,5ml,BATCH-2763134,40,38,49.95,492.37,46.48,9,5/5/2026,9/13/2023,Room Temperature,Supplier X,Warehouse B,FDA-15444861,FALSE,307,29,Take before meals,Pain
Ciprofloxacin,Antacid,Syrup,250mg,BATCH-7755365,226,19,108.76,588.01,19.38,24,1/30/2025,6/15/2023,Below 25°C,Supplier W,Warehouse A,FDA-56800054,TRUE,263,52,Use as directed,Acidity
Azithromycin,Antidiabetic,Syrup,100mg,BATCH-6673693,296,41,183.7,412.25,24.06,1,8/26/2026,1/20/2024,Room Temperature,Supplier Z,Warehouse A,FDA-48675445,FALSE,312,95,Take before meals,Infection
Metformin,Antidiabetic,Capsule,5ml,BATCH-5413242,202,15,40.3,467.89,24.33,2,5/6/2025,7/19/2024,Room Temperature,Supplier Z,Warehouse C,FDA-42195064,FALSE,474,57,Use as directed,Diabetes
Cetirizine,Antidiabetic,Drops,10mg/ml,BATCH-3583819,275,34,83.56,23.23,37.85,13,9/25/2026,3/26/2024,2–8°C,Supplier Z,Warehouse A,FDA-51346839,FALSE,526,33,Take before meals,Pain
Paracetamol,Analgesic,Ointment,10mg/ml,BATCH-8117440,362,17,9.48,263.7,48.34,13,3/27/2025,7/18/2024,Room Temperature,Supplier X,Warehouse C,FDA-92825054,TRUE,300,61,Use as directed,Infection
Simvastatin,Antihistamine,Ointment,100mg,BATCH-9411197,490,17,243.15,189.41,42.43,5,7/13/2025,4/8/2024,Room Temperature,Supplier W,Warehouse B,FDA-69190500,TRUE,593,5,Take before meals,Pain
Ciprofloxacin,Antidiabetic,Capsule,500mg,BATCH-9166488,13,27,83.98,446,38.89,8,9/30/2026,12/19/2024,2–8°C,Supplier Z,Warehouse C,FDA-11481772,TRUE,548,90,Use as directed,Allergy
Azithromycin,Antidiabetic,Syrup,250mg,BATCH-6344465,231,41,217.17,525.79,13.53,14,8/23/2025,9/26/2024,Room Temperature,Supplier X,Warehouse C,FDA-47370097,FALSE,90,70,Use as directed,Infection
Amoxicillin,Antibiotic,Injection,10mg/ml,BATCH-0161395,273,30,2.63,428.85,41.05,17,5/7/2026,2/7/2023,Below 25°C,Supplier Z,Warehouse B,FDA-14545412,FALSE,588,71,Take before meals,Diabetes
Gabapentin,Antihistamine,Ointment,500mg,BATCH-0593837,402,28,101.66,470.22,33.27,21,10/12/2026,12/25/2023,Room Temperature,Supplier X,Warehouse B,FDA-44364862,FALSE,706,81,Take after meals,Infection
Gabapentin,Antipyretic,Capsule,500mg,BATCH-9123924,154,40,21.11,247.81,14.03,23,10/4/2025,10/16/2024,Room Temperature,Supplier Z,Warehouse A,FDA-27298769,TRUE,585,9,Take before meals,Diabetes
Simvastatin,Antacid,Capsule,1g,BATCH-2134414,350,26,207.15,580.49,30.4,30,5/20/2025,2/16/2023,Room Temperature,Supplier Z,Warehouse B,FDA-10440733,TRUE,286,4,Take before meals,Acidity
Paracetamol,Antihistamine,Ointment,500mg,BATCH-9803124,272,39,118.4,344.14,49.33,10,12/15/2026,5/23/2023,2–8°C,Supplier Y,Warehouse B,FDA-04286901,TRUE,119,41,Use as directed,Infection
Simvastatin,Antidiabetic,Syrup,1g,BATCH-3199999,176,30,66.12,80.12,8.41,26,11/10/2026,9/25/2024,Room Temperature,Supplier W,Warehouse C,FDA-51041714,FALSE,271,40,Use as directed,Allergy
Omeprazole,Analgesic,Capsule,100mg,BATCH-0782122,387,10,181.76,519.86,48.31,23,11/21/2025,5/18/2023,Below 25°C,Supplier Z,Warehouse C,FDA-47538522,FALSE,543,39,Use as directed,Pain
Metformin,Antidiabetic,Capsule,100mg,BATCH-6425443,468,15,69.56,73.9,20.44,17,9/9/2026,12/26/2024,Room Temperature,Supplier W,Warehouse B,FDA-93571524,FALSE,337,98,Take after meals,Infection
Omeprazole,Analgesic,Capsule,100mg,BATCH-2974553,388,17,73.17,126.8,13.5,24,11/13/2025,11/28/2023,2–8°C,Supplier Y,Warehouse B,FDA-28158408,TRUE,660,41,Take after meals,Diabetes
Paracetamol,Antihistamine,Drops,100mg,BATCH-7274585,244,29,155.08,32.05,36.8,6,7/9/2026,3/17/2023,Below 25°C,Supplier Z,Warehouse A,FDA-17672120,FALSE,422,7,Take before meals,Infection
Aspirin,Antidiabetic,Tablet,10mg/ml,BATCH-8318309,290,20,200.04,367.31,15.59,14,1/16/2026,7/31/2023,Room Temperature,Supplier Y,Warehouse B,FDA-65162746,TRUE,90,72,Take before meals,Infection
Paracetamol,Antipyretic,Drops,10mg/ml,BATCH-7909153,324,43,119.14,514,33.6,17,2/26/2025,7/2/2023,Below 25°C,Supplier W,Warehouse B,FDA-55337293,TRUE,146,30,Take before meals,Infection
Paracetamol,Analgesic,Ointment,1g,BATCH-1907998,126,13,46.36,41.93,15.88,21,10/12/2026,7/21/2023,2–8°C,Supplier Z,Warehouse A,FDA-26481803,FALSE,221,90,Take before meals,Diabetes
Paracetamol,Antipyretic,Injection,500mg,BATCH-1165992,461,33,83.59,325.78,28.45,19,10/7/2025,8/15/2024,2–8°C,Supplier Y,Warehouse C,FDA-49187099,TRUE,627,3,Use as directed,Allergy
Metformin,Antibiotic,Injection,5ml,BATCH-1154488,262,44,84.06,63.96,41.93,17,6/8/2026,5/26/2024,2–8°C,Supplier Y,Warehouse A,FDA-64171556,TRUE,557,18,Use as directed,Allergy
Cetirizine,Antihistamine,Capsule,500mg,BATCH-7907591,469,43,219.8,434.77,18.9,5,10/11/2025,6/16/2023,2–8°C,Supplier W,Warehouse C,FDA-97243958,TRUE,149,71,Use as directed,Diabetes
Atorvastatin,Antipyretic,Ointment,500mg,BATCH-5645677,72,47,47.46,264.82,43.06,7,7/8/2025,9/7/2024,2–8°C,Supplier Y,Warehouse B,FDA-19605144,TRUE,629,68,Take after meals,Allergy
